id	C1	C2
AL901608.1	0.0	0.0
PAQR6	16.0790586099	10.8266864493
SDHA	472.567328401	442.628812261
SDHC	120.15623121	123.741641089
SDHB	215.451831549	224.406650037
SDHD	98.2797061279	116.390093453
SHARPIN	272.600732826	217.376374267
ZCCHC13	0.0393903777003	0.0393903777003
ERRFI1	116.358439207	105.677511692
ZCCHC11	528.855813459	579.381400302
TCTN1	51.6011895463	70.0045657828
ZCCHC17	118.894371532	121.944799446
ZCCHC16	6.17657232285	6.47296524048
ZCCHC14	87.3551757038	87.3141817227
GPR22	2.09375823289	1.91969836503
AP1M1	134.670728125	116.998327173
SOX1	9.76799869537	7.64035081863
FKBP14	79.4022784755	105.098692708
CDRT4	29.5984441116	32.1065824777
TARM1	0.118171133101	0.118171133101
CCDC141	65.1167504191	48.2625170723
CDRT1	0.196951888502	0.196951888502
PRR15	28.661962986	25.3554172516
CCDC142	87.7547011599	72.4074528962
AP000280.1	0.0	0.0
CCDC148	9.45148967952	16.1107215583
HIST1H3A	0.0	0.0
AP000280.2	0.0	0.0
CYP3A43	2.13314861059	0.354513399303
GRAMD3	79.7056571767	81.9326347634
DLG3	227.787471756	242.215475813
DLG2	87.240136005	107.393884867
SMG1	516.146705039	594.846340492
DLG4	180.185464479	160.904843852
SAMD10	58.1802140847	40.8308200017
SURF1	68.5030514896	62.6883513629
TKTL1	3.0391272977	5.20696462691
TKTL2	0.0393903777003	0.0393903777003
WNT16	20.2172437236	20.8110490888
SYS1	108.018503554	105.874768861
SFMBT1	140.759367354	157.05341275
RAB2B	90.9536833167	89.2982677817
FAM114A1	94.088007465	95.9382745326
PPIAL4G	4.66226816177	5.58505773544
GRWD1	59.8623847961	53.0445785522
GUCY1A2	23.7455295399	34.6597949341
RENBP	130.617168173	91.8303840756
C19orf2	82.6703346819	95.5474725813
MT-ATP6	36.059463501	36.9375343323
CPNE7	90.1277150512	44.5515711233
HIST1H3F	0.0	0.0
AKAP2	86.7794066742	86.2565024644
PCDH11X	95.3235617131	90.3642049283
AC003042.2	12.9960815907	13.0709218979
IGF1R	238.12910872	242.935320668
FBXO11	111.09207502	140.174095728
IFNK	1.85741596669	1.68335609883
LHB	5.30138026178	0.157561510801
RAB11FIP2	70.4925727025	83.3324224651
IFNG	0.157561510801	0.157561510801
SLC45A4	176.650242776	161.747324012
IFNE	1.81802558899	1.64396572113
SLC45A1	101.426230162	74.3809336796
PTGR1	106.731505863	135.84782327
SLC45A3	31.9758904502	26.6499255225
SLC45A2	13.1988636553	0.748417176306
MTUS1	144.565110773	133.849207543
OSBPL8	207.295570053	233.778503336
OSBPL9	453.39512226	496.50187654
CEP110	289.549169257	376.703369446
IFRD1	160.351316892	181.794381768
IFRD2	345.476551272	351.868576244
GMIP	122.934802979	105.381143115
OSBPL2	145.12465217	143.105888389
OSBPL3	187.126195073	221.285120159
CHSY1	45.0866966248	43.306579113
OSBPL6	99.431728594	99.4343248904
AC104651.2	0.0	0.0
KIAA0776	79.7402335778	95.3065899983
OSBPL5	256.998349808	194.790742666
ADRA1A	58.8634139895	42.1821661443
RP1L1	8.3822414577	7.79791232944
RNF223	0.0787807554007	0.0787807554007
TEX9	24.2734594047	33.7372092381
ADRA1D	4.42932534218	22.4016332626
STIL	282.269158281	332.69930765
CD3EAP	34.2365517616	26.8821287155
MYST4	240.743115395	252.379341573
CDH15	20.9024245963	9.32866328955
AMT	329.935533032	303.821652636
HSFY1	0.433294154704	0.433294154704
ARHGAP17	208.448236778	217.225464076
STARD8	165.809519283	157.481396057
ARHGAP15	3.08398428559	2.11665025353
ARHGAP12	224.462788254	266.077315189
ARHGAP10	121.884387769	135.833779216
TAF1A	26.0827828199	42.7828105241
STARD3	116.290636614	110.038595036
LZTS1	93.5968006179	88.9520891234
STARD6	2.01497747749	1.84091760963
STARD7	187.940432467	183.910515703
ARHGAP18	47.3562926948	41.9833872542
ARHGAP19	211.028219476	231.126077034
IL7R	1.29988246411	2.90445780754
CAPZB	234.046507031	231.70046477
AC125257.5	0.0	0.0
C1QL1	18.9688634872	14.3268923759
GABRG3	6.1478106901	7.99267858267
GABRG2	27.3765699789	31.3608038351
GABRG1	8.06707275659	14.705805406
AC138028.1	1.89680634439	1.72274647653
C1QL2	9.64517641068	8.72571349144
AC022692.1	0.0	0.0
C1orf27	75.5993890464	97.985024184
C1QL3	14.6318061352	14.1022596359
IMPAD1	68.020598568	76.8299104348
C1orf21	55.0775559694	50.639784649
GPR137C	28.7452321574	28.9211710021
GPR137B	51.0998670757	48.7526628673
FZD10	0.0	0.0
FGL2	3.63605117798	2.95437078923
CHKA	202.769881874	196.267724186
CHKB	85.5200577229	97.4034638852
SIRT6	77.4069338366	58.8446705863
TSPYL1	23.29139328	24.0717430115
BMS1	206.19537136	208.981738299
SIRT5	66.1206888333	63.7029713765
CDH17	1.06354019791	4.27269088477
AL513523.1	0.0393903777003	0.0393903777003
BCDIN3D	11.7737317085	13.4171848297
AHSA1	90.0118396804	90.7663333938
AHSA2	94.9844533801	89.5217064396
METTL20	22.0091144741	26.3159450665
HIST1H3J	11.5547802448	7.09652643651
MRI1	78.4567081928	68.0657529831
